age,gender,state,prescribe_levothyroxine,prescribe_liothyronine,prescribe_thyroid_usp
65 and up,Male,California,97.12315656803769,2.87684343196232,
65 and up,Male,Colorado,97.12315656803769,2.87684343196232,
65 and up,Male,Connecticut,100.0,,
65 and up,Male,Delaware,95.81759964744498,,4.182400352555021
65 and up,Male,District of Columbia,95.81759964744498,,4.182400352555021
65 and up,Male,Florida,95.81759964744498,,4.182400352555021
65 and up,Male,Georgia,95.81759964744498,,4.182400352555021
65 and up,Male,Hawaii,97.12315656803769,2.87684343196232,
65 and up,Male,Idaho,97.12315656803769,2.87684343196232,
65 and up,Male,Illinois,100.0,,
65 and up,Male,Indiana,100.0,,
65 and up,Male,Iowa,100.0,,
65 and up,Male,Kansas,100.0,,
65 and up,Male,Kentucky,95.81759964744498,,4.182400352555021
65 and up,Male,Louisiana,95.81759964744498,,4.182400352555021
65 and up,Male,Maine,100.0,,
65 and up,Male,Maryland,95.81759964744498,,4.182400352555021
65 and up,Male,Massachusetts,100.0,,
65 and up,Male,Michigan,100.0,,
65 and up,Male,Minnesota,100.0,,
65 and up,Male,Mississippi,95.81759964744498,,4.182400352555021
65 and up,Male,Missouri,100.0,,
65 and up,Male,Montana,97.12315656803769,2.87684343196232,
65 and up,Male,Nebraska,100.0,,
65 and up,Male,Nevada,97.12315656803769,2.87684343196232,
65 and up,Male,New Hampshire,100.0,,
65 and up,Male,New Jersey,100.0,,
65 and up,Male,New Mexico,97.12315656803769,2.87684343196232,
65 and up,Male,New York,100.0,,
65 and up,Male,North Carolina,95.81759964744498,,4.182400352555021
65 and up,Male,North Dakota,100.0,,
65 and up,Male,Ohio,100.0,,
65 and up,Male,Oklahoma,95.81759964744498,,4.182400352555021
65 and up,Male,Oregon,97.12315656803769,2.87684343196232,
65 and up,Male,Pennsylvania,100.0,,
65 and up,Male,Rhode Island,100.0,,
65 and up,Male,South Carolina,95.81759964744498,,4.182400352555021
65 and up,Male,South Dakota,100.0,,
65 and up,Male,Tennessee,95.81759964744498,,4.182400352555021
65 and up,Male,Texas,95.81759964744498,,4.182400352555021
65 and up,Male,Utah,97.12315656803769,2.87684343196232,
65 and up,Male,Vermont,100.0,,
65 and up,Male,Virginia,95.81759964744498,,4.182400352555021
65 and up,Male,Washington,97.12315656803769,2.87684343196232,
65 and up,Male,West Virginia,95.81759964744498,,4.182400352555021
65 and up,Male,Wisconsin,100.0,,
65 and up,Male,Wyoming,97.12315656803769,2.87684343196232,
8 - 11,Female,Alabama,100.0,,
8 - 11,Female,Arkansas,100.0,,
8 - 11,Female,Connecticut,100.0,,
8 - 11,Female,Delaware,100.0,,
8 - 11,Female,District of Columbia,100.0,,
8 - 11,Female,Florida,100.0,,
8 - 11,Female,Georgia,100.0,,
8 - 11,Female,Illinois,100.0,,
8 - 11,Female,Indiana,100.0,,
8 - 11,Female,Iowa,100.0,,
8 - 11,Female,Kansas,100.0,,
8 - 11,Female,Kentucky,100.0,,
8 - 11,Female,Louisiana,100.0,,
8 - 11,Female,Maine,100.0,,
8 - 11,Female,Maryland,100.0,,
8 - 11,Female,Massachusetts,100.0,,
8 - 11,Female,Michigan,100.0,,
8 - 11,Female,Minnesota,100.0,,
8 - 11,Female,Mississippi,100.0,,
8 - 11,Female,Missouri,100.0,,
8 - 11,Female,Nebraska,100.0,,
8 - 11,Female,New Hampshire,100.0,,
8 - 11,Female,New Jersey,100.0,,
8 - 11,Female,New York,100.0,,
8 - 11,Female,North Carolina,100.0,,
8 - 11,Female,North Dakota,100.0,,
8 - 11,Female,Ohio,100.0,,
8 - 11,Female,Oklahoma,100.0,,
8 - 11,Female,Pennsylvania,100.0,,
8 - 11,Female,Rhode Island,100.0,,
8 - 11,Female,South Carolina,100.0,,
8 - 11,Female,South Dakota,100.0,,
8 - 11,Female,Tennessee,100.0,,
8 - 11,Female,Texas,100.0,,
8 - 11,Female,Vermont,100.0,,
8 - 11,Female,Virginia,100.0,,
8 - 11,Female,West Virginia,100.0,,
8 - 11,Female,Wisconsin,100.0,,
8 - 11,Male,Alabama,100.0,,
8 - 11,Male,Alaska,100.0,,
8 - 11,Male,Arizona,100.0,,
8 - 11,Male,Arkansas,100.0,,
8 - 11,Male,California,100.0,,
8 - 11,Male,Colorado,100.0,,
8 - 11,Male,Delaware,100.0,,
8 - 11,Male,District of Columbia,100.0,,
8 - 11,Male,Florida,100.0,,
8 - 11,Male,Georgia,100.0,,
8 - 11,Male,Hawaii,100.0,,
8 - 11,Male,Idaho,100.0,,
8 - 11,Male,Kentucky,100.0,,
8 - 11,Male,Louisiana,100.0,,
8 - 11,Male,Maryland,100.0,,
8 - 11,Male,Mississippi,100.0,,
8 - 11,Male,Montana,100.0,,
8 - 11,Male,Nevada,100.0,,
8 - 11,Male,New Mexico,100.0,,
8 - 11,Male,North Carolina,100.0,,
8 - 11,Male,Oklahoma,100.0,,
8 - 11,Male,Oregon,100.0,,
8 - 11,Male,South Carolina,100.0,,
8 - 11,Male,Tennessee,100.0,,
8 - 11,Male,Texas,100.0,,
8 - 11,Male,Utah,100.0,,
8 - 11,Male,Virginia,100.0,,
8 - 11,Male,Washington,100.0,,
8 - 11,Male,West Virginia,100.0,,
8 - 11,Male,Wyoming,100.0,,
